,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
1,1,Shakespeare Play #1,Concert,"Durham, United Kingdom",17:30,18:00,08/08/2024,08/08/2024 17:30,08/08/2024 18:00
2,2,Historical Lecture #2,Exhibition,"Durham, United Kingdom",13:00,13:00,26/07/2024,26/07/2024 13:00,26/07/2024 13:00
3,3,Art Exhibition #3,Conference,"Durham, United Kingdom",14:15,15:30,06/12/2024,06/12/2024 14:15,06/12/2024 15:30
4,4,Film Night #4,Ball,"Durham, United Kingdom",19:30,21:15,11/11/2024,11/11/2024 19:30,11/11/2024 21:15
5,5,Music Festival #5,Party,"Durham, United Kingdom",13:30,14:45,01/10/2024,01/10/2024 13:30,01/10/2024 14:45
6,6,Tech Conference #6,Party,"Durham, United Kingdom",15:15,15:45,25/07/2024,25/07/2024 15:15,25/07/2024 15:45
7,7,Food Fair #7,Sports Event,"Durham, United Kingdom",22:00,22:00,09/07/2024,09/07/2024 22:00,09/07/2024 22:00
8,8,New Year Party #8,Movie Screening,"Durham, United Kingdom",12:30,12:30,27/11/2024,27/11/2024 12:30,27/11/2024 12:30
9,9,Art Exhibition #9,Conference,"Durham, United Kingdom",18:15,22:15,16/07/2024,16/07/2024 18:15,16/07/2024 22:15
10,10,Art Exhibition #10,Party,"Durham, United Kingdom",20:00,23:15,11/11/2024,11/11/2024 20:00,11/11/2024 23:15
11,11,Winter Gala #11,Charity Event,"Durham, United Kingdom",21:15,22:45,14/06/2024,14/06/2024 21:15,14/06/2024 22:45
12,12,New Year Party #12,Lecture,"Durham, United Kingdom",16:30,19:15,14/10/2024,14/10/2024 16:30,14/10/2024 19:15
13,13,Winter Gala #13,Exhibition,"Durham, United Kingdom",23:45,23:59,08/06/2024,08/06/2024 23:45,08/06/2024 23:59
14,14,Art Exhibition #14,Movie Screening,"Durham, United Kingdom",21:30,22:30,12/09/2024,12/09/2024 21:30,12/09/2024 22:30
15,15,Networking Evening #15,Play,"Durham, United Kingdom",23:15,23:59,03/12/2024,03/12/2024 23:15,03/12/2024 23:59
16,16,Art Exhibition #16,Seminar,"Durham, United Kingdom",22:30,23:59,19/10/2024,19/10/2024 22:30,19/10/2024 23:59
17,17,Sports Day #17,Seminar,"Durham, United Kingdom",19:30,20:45,18/10/2024,18/10/2024 19:30,18/10/2024 20:45
18,18,Food Fair #18,Charity Event,"Durham, United Kingdom",13:30,13:30,23/10/2024,23/10/2024 13:30,23/10/2024 13:30
19,19,Science Seminar #19,Charity Event,"Durham, United Kingdom",21:30,23:15,14/08/2024,14/08/2024 21:30,14/08/2024 23:15
20,20,Cultural Festival #20,Charity Event,"Durham, United Kingdom",20:45,21:00,08/07/2024,08/07/2024 20:45,08/07/2024 21:00
21,21,New Year Party #21,Play,"Durham, United Kingdom",18:00,19:15,26/09/2024,26/09/2024 18:00,26/09/2024 19:15
22,22,Winter Gala #22,Exhibition,"Durham, United Kingdom",22:15,22:30,04/08/2024,04/08/2024 22:15,04/08/2024 22:30
23,23,Music Festival #23,Lecture,"Durham, United Kingdom",18:45,18:45,05/11/2024,05/11/2024 18:45,05/11/2024 18:45
24,24,Shakespeare Play #24,Exhibition,"Durham, United Kingdom",17:15,19:15,13/12/2024,13/12/2024 17:15,13/12/2024 19:15
25,25,Food Fair #25,Workshop,"Durham, United Kingdom",22:00,22:15,29/11/2024,29/11/2024 22:00,29/11/2024 22:15
26,26,Art Exhibition #26,Exhibition,"Durham, United Kingdom",21:15,21:45,12/08/2024,12/08/2024 21:15,12/08/2024 21:45
27,27,Sports Day #27,Charity Event,"Durham, United Kingdom",15:30,17:15,25/07/2024,25/07/2024 15:30,25/07/2024 17:15
28,28,Tech Conference #28,Seminar,"Durham, United Kingdom",15:30,17:15,04/08/2024,04/08/2024 15:30,04/08/2024 17:15
29,29,Networking Evening #29,Exhibition,"Durham, United Kingdom",20:15,20:30,29/11/2024,29/11/2024 20:15,29/11/2024 20:30
30,30,New Year Party #30,Networking Event,"Durham, United Kingdom",18:00,18:00,05/12/2024,05/12/2024 18:00,05/12/2024 18:00
31,31,Winter Gala #31,Movie Screening,"Durham, United Kingdom",09:30,12:00,13/11/2024,13/11/2024 09:30,13/11/2024 12:00
32,32,Startup Workshop #32,Networking Event,"Durham, United Kingdom",21:30,22:15,04/09/2024,04/09/2024 21:30,04/09/2024 22:15
33,33,Shakespeare Play #33,Festival,"Durham, United Kingdom",14:45,15:00,28/07/2024,28/07/2024 14:45,28/07/2024 15:00
