user_id,event_id,rating
1,4,4.7
1,2,2.5
1,5,4.8
2,1,3.5
2,4,3.9
2,5,4.7
2,2,3.0
3,2,3.2
3,1,2.1
4,1,2.6
4,2,1.4
4,3,2.8
4,5,4.0
5,3,2.4
5,5,3.8
5,2,5.0
5,4,3.4
5,1,2.1
6,4,2.5
6,2,1.4
7,4,3.2
8,3,4.1
8,1,3.7
8,4,3.2
8,2,1.5
8,5,2.9
9,4,4.4
9,3,2.4
9,1,1.1
10,3,2.9
10,1,3.1
10,2,3.6
11,4,3.0
11,1,1.9
12,2,1.6
12,5,2.2
12,4,2.2
12,1,1.8
12,3,1.8
13,1,3.4
13,4,3.7
14,3,3.1
15,5,3.8
15,4,2.7
15,1,4.7
15,2,4.3
15,3,1.6
16,2,3.4
16,5,1.1
16,3,2.0
16,1,1.3
17,5,2.0
17,1,2.0
18,3,2.6
18,1,1.5
18,2,2.2
18,4,3.0
18,5,2.3
19,4,3.6
19,5,2.4
19,1,1.4
20,4,2.3
20,2,4.4
20,5,1.0
20,3,4.4
